模型名称,训练轮数,训练损失,验证损失,验证准确率
拼接融合,1,0.9378,0.8643,0.5988
拼接融合,2,0.8129,0.7543,0.7325
拼接融合,3,0.7143,0.8254,0.6787
拼接融合,4,0.6147,0.7448,0.7462
拼接融合,5,0.5226,0.7787,0.7425
拼接融合,6,0.4513,0.7755,0.7375
拼接融合,7,0.4015,0.8048,0.7375
拼接融合,8,0.3777,0.8472,0.7175
拼接融合,9,0.3628,0.8347,0.7338
拼接融合,10,0.35,0.7941,0.74
加权拼接融合,1,0.9176,0.8204,0.6925
加权拼接融合,2,0.7919,0.7595,0.7238
加权拼接融合,3,0.691,0.7441,0.735
加权拼接融合,4,0.5907,0.7432,0.745
加权拼接融合,5,0.5047,0.7833,0.755
加权拼接融合,6,0.4492,0.8003,0.7388
加权拼接融合,7,0.4115,0.8068,0.7438
加权拼接融合,8,0.3788,0.8142,0.7338
加权拼接融合,9,0.3506,0.8179,0.7462
加权拼接融合,10,0.3438,0.7967,0.7575
自注意力融合,1,0.9135,0.7835,0.71
自注意力融合,2,0.7736,0.7311,0.7438
自注意力融合,3,0.6687,0.7391,0.7512
自注意力融合,4,0.5742,0.7914,0.7175
自注意力融合,5,0.4855,0.8193,0.7262
自注意力融合,6,0.4653,0.7887,0.7388
自注意力融合,7,0.4066,0.8344,0.7262
自注意力融合,8,0.3861,0.8245,0.7462
自注意力融合,9,0.3756,0.8579,0.7475
自注意力融合,10,0.3622,0.7993,0.7488
早期融合,1,0.9373,0.8378,0.6813
早期融合,2,0.8042,0.881,0.73
早期融合,3,0.705,0.847,0.7275
早期融合,4,0.6171,0.9264,0.7125
早期融合,5,0.5556,1.0413,0.73
早期融合,6,0.4952,1.1447,0.7113
早期融合,7,0.4425,1.1053,0.7262
早期融合,8,0.405,1.1132,0.73
早期融合,9,0.3992,0.9907,0.7488
早期融合,10,0.3673,1.1278,0.7388
CLIP融合,1,1.0156,0.9253,0.5975
CLIP融合,2,0.9179,0.8891,0.5975
CLIP融合,3,0.8572,0.8729,0.6325
CLIP融合,4,0.7725,0.8289,0.6775
CLIP融合,5,0.6789,0.8106,0.6963
CLIP融合,6,0.6031,0.8405,0.6763
CLIP融合,7,0.5371,0.8148,0.6875
CLIP融合,8,0.466,0.8362,0.6975
CLIP融合,9,0.4233,0.8834,0.7063
CLIP融合,10,0.3968,0.9519,0.6475
BLIP融合,1,0.9413,0.8797,0.6488
BLIP融合,2,0.8299,0.7771,0.6963
BLIP融合,3,0.7263,0.7677,0.7388
BLIP融合,4,0.6333,0.7472,0.7438
BLIP融合,5,0.5517,0.7884,0.7212
BLIP融合,6,0.4734,0.8415,0.7125
BLIP融合,7,0.4158,0.8301,0.7137
BLIP融合,8,0.3944,0.9433,0.6787
BLIP融合,9,0.3825,0.9334,0.7087
BLIP融合,10,0.3558,0.8548,0.7262
BLIP进阶融合,1,0.9119,0.7905,0.715
BLIP进阶融合,2,0.7582,0.7556,0.7238
BLIP进阶融合,3,0.6525,0.7476,0.7212
BLIP进阶融合,4,0.567,0.7683,0.7462
BLIP进阶融合,5,0.5009,0.7694,0.7462
BLIP进阶融合,6,0.4413,0.8135,0.7137
BLIP进阶融合,7,0.4047,0.8706,0.7025
BLIP进阶融合,8,0.3759,0.8485,0.7212
BLIP进阶融合,9,0.3718,0.8751,0.7225
BLIP进阶融合,10,0.359,0.8431,0.7238
